"Word","Length"
"away","4.0"
"ayant","5.0"
"ayez","4.0"
"ayons","5.0"
"back","4.0"
"bad","3.0"
"be","2.0"
"because","7.0"
"been","4.0"
"before","6.0"
"behind","6.0"
"bei","3.0"
"being","5.0"
"believe","7.0"
"below","5.0"
"besoin","6.0"
"best","4.0"
"between","7.0"
"Bien","4.0"
"bin","3.0"
"bis","3.0"
"bist","4.0"
"bitte","5.0"
"Bonjour","7.0"
"both","4.0"
"br","2.0"
"but","3.0"
"by","2.0"
"by""","3.0"
"can","3.0"
"can´t","5.0"
"cannot","6.0"
"cant","4.0"
"can't","5.0"
"causing","7.0"
"ce","2.0"
"ceci","4.0"
"cela","4.0"
"celà","4.0"
"certain","7.0"
"ces","3.0"
"C'est","5.0"
"cet","3.0"
"cette","5.0"
"check","5.0"
"click","5.0"
"close","5.0"
"com","3.0"
"comes","5.0"
"coming","6.0"
"como","4.0"
"computer","8.0"
"con","3.0"
"contra","6.0"
"contudo","7.0"
"correctly","9.0"
"could","5.0"
"couldn't","8.0"
"cual","4.0"
"cuando","6.0"
"cuja","4.0"
"cujas","5.0"
"cujo","4.0"
"cujos","5.0"
"currently","9.0"
"da","2.0"
"damit","5.0"
"dann","4.0"
"dans","4.0"
"das","3.0"
"daß","3.0"
"dasselbe","8.0"
"date","4.0"
"David","5.0"
"day","3.0"
"dazu","4.0"
"de","2.0"
"DEar","4.0"
"Dears","5.0"
"Dears
We","8.0"
"Dec","3.0"
"déc","3.0"
"December","8.0"
"décembre","8.0"
"dein","4.0"
"deine","5.0"
"deinem","6.0"
"deinen","6.0"
"deiner","6.0"
"deines","6.0"
"del","3.0"
"dela","4.0"
"dele","4.0"
"deles","5.0"
"dem","3.0"
"demais","6.0"
"demselben","9.0"
"den","3.0"
"denn","4.0"
"denselben","9.0"
"depois","6.0"
"der","3.0"
"derer","5.0"
"derselbe","8.0"
"derselben","9.0"
"des","3.0"
"description","11.0"
"desde","5.0"
"desselben","9.0"
"dessen","6.0"
"desta","5.0"
"deste","5.0"
"detail","6.0"
"details","7.0"
"dia","3.0"
"día","3.0"
"dich","4.0"
"did","3.0"
"didn","4.0"
"didn.t","6.0"
"didn't","6.0"
"die","3.0"
"dies","4.0"
"diese","5.0"
"dieselbe","8.0"
"dieselben","9.0"
"diesem","6.0"
"diesen","6.0"
"dieser","6.0"
"dieses","6.0"
"dim","3.0"
"dir","3.0"
"dispoe","6.0"
"dispoem","7.0"
"diversa","7.0"
"diversas","8.0"
"diversos","8.0"
"do","2.0"
"do ","3.0"
"doch","4.0"
"does","4.0"
"doesn","5.0"
"doesnt","6.0"
"doesn't","7.0"
"doing","5.0"
"don´t","5.0"
"donde","5.0"
"Done","4.0"
"dont","4.0"
"don't","5.0"
"dort","4.0"
"dos","3.0"
"doubt","5.0"
"down","4.0"
"du","2.0"
"due","3.0"
"durante","7.0"
"durch","5.0"
"during","6.0"
"e","1.0"
"é","1.0"
"each","4.0"
"easy","4.0"
"ee","2.0"
"eg","2.0"
"ein","3.0"
"eine","4.0"
"einem","5.0"
"einen","5.0"
"einer","5.0"
"eines","5.0"
"einig","5.0"
"einige","6.0"
"einigem","7.0"
"einigen","7.0"
"einiger","7.0"
"einiges","7.0"
"einmal","6.0"
"either","6.0"
"el","2.0"
"él","2.0"
"ela","3.0"
"elas","4.0"
"ele","3.0"
"eles","4.0"
"ella","4.0"
"ellas","5.0"
"elle","4.0"
"ellos","5.0"
"Else","4.0"
"em","2.0"
"eme","3.0"
"en","2.0"
"End","3.0"
"Enough","6.0"
"entao","5.0"
"enter","5.0"
"entre","5.0"
"Environment
A.","14.0"
"er","2.0"
"era","3.0"
"erais","5.0"
"éramos","6.0"
"eran","4.0"
"eras","4.0"
"eres","4.0"
"ERR","3.0"
"Errno","5.0"
"error","5.0"
"es","2.0"
"esa","3.0"
"esas","4.0"
"ese","3.0"
"eso","3.0"
"esos","4.0"
"essa","4.0"
"essas","5.0"
"esse","4.0"
"esses","5.0"
"est","3.0"
"esta","4.0"
"está","4.0"
"estaba","6.0"
"estabais","8.0"
"estábamos","9.0"
"estaban","7.0"
"estabas","7.0"
"estad","5.0"
"estada","6.0"
"estadas","7.0"
"estado","6.0"
"estados","7.0"
"estáis","6.0"
"estamos","7.0"
"están","5.0"
"estando","7.0"
"estão","5.0"
"estar","5.0"
"estará","6.0"
"estarán","7.0"
"estarás","7.0"
"estaré","6.0"
"estaréis","8.0"
"estaremos","9.0"
"estaría","7.0"
"estaríais","9.0"
"estaríamos","10.0"
"estarían","8.0"
"estarías","8.0"
"estas","5.0"
"estás","5.0"
"este","4.0"
"esté","4.0"
"estéis","6.0"
"estemos","7.0"
"estén","5.0"
"estes","5.0"
"estés","5.0"
"esto","4.0"
"estos","5.0"
"estou","5.0"
"estoy","5.0"
"estuve","6.0"
"estuviera","9.0"
"estuvierais","11.0"
"estuviéramos","12.0"
"estuvieran","10.0"
"estuvieras","10.0"
"estuvieron","10.0"
"estuviese","9.0"
"estuvieseis","11.0"
"estuviésemos","12.0"
"estuviesen","10.0"
"estuvieses","10.0"
"estuvimos","9.0"
"estuviste","9.0"
"estuvisteis","11.0"
"estuvo","6.0"
"et","2.0"
"étaient","7.0"
"étais","5.0"
"était","5.0"
"étant","5.0"
"etc","3.0"
"été","3.0"
"étée","4.0"
"étées","5.0"
"êtes","4.0"
"étés","4.0"
"étiez","5.0"
"étions","6.0"
"etwas","5.0"
"eu","2.0"
"euch","4.0"
"eue","3.0"
"euer","4.0"
"eues","4.0"
"eûmes","5.0"
"eure","4.0"
"eurem","5.0"
"euren","5.0"
"eurent","6.0"
"eurer","5.0"
"eures","5.0"
"eus","3.0"
"eusse","5.0"
"eussent","7.0"
"eusses","6.0"
"eussiez","7.0"
"eussions","8.0"
"eut","3.0"
"eût","3.0"
"eûtes","5.0"
"eux","3.0"
"even","4.0"
"ever","4.0"
"Every","5.0"
"everything","10.0"
"ex","2.0"
"Extension","9.0"
"extremely","9.0"
"f","1.0"
"facing","6.0"
"faire","5.0"
"FALSE","5.0"
"favor","5.0"
"Feb","3.0"
"February","8.0"
"févr","4.0"
"février","7.0"
"few","3.0"
"finally","7.0"
"find","4.0"
"fine","4.0"
"foi","3.0"
"following","9.0"
"for","3.0"
"Fri","3.0"
"Friday","6.0"
"fro","3.0"
"from","4.0"
"fue","3.0"
"fuera","5.0"
"fuerais","7.0"
"fuéramos","8.0"
"fueran","6.0"
"fueras","6.0"
"fueron","6.0"
"fuese","5.0"
"fueseis","7.0"
"fuésemos","8.0"
"fuesen","6.0"
"fueses","6.0"
"fui","3.0"
"fuimos","6.0"
"fuiste","6.0"
"fuisteis","8.0"
"full","4.0"
"fully","5.0"
"fûmes","5.0"
"für","3.0"
"furent","6.0"
"further","7.0"
"fus","3.0"
"fusse","5.0"
"fussent","7.0"
"fusses","6.0"
"fussiez","7.0"
"fussions","8.0"
"fut","3.0"
"fût","3.0"
"fûtes","5.0"
"gegen","5.0"
"General","7.0"
"get","3.0"
"gets","4.0"
"getting","7.0"
"gewesen","7.0"
"GIVAUDAN","8.0"
"given","5.0"
"gives","5.0"
"giving","6.0"
"goes","4.0"
"going","5.0"
"good","4.0"
"got","3.0"
"Gracias","7.0"
"h","1.0"
"ha","2.0"
"hab","3.0"
"habe","4.0"
"habéis","6.0"
"haben","5.0"
"había","5.0"
"habíais","7.0"
"habíamos","8.0"
"habían","6.0"
"habías","6.0"
"habida","6.0"
"habidas","7.0"
"habido","6.0"
"habidos","7.0"
"habiendo","8.0"
"habrá","5.0"
"habrán","6.0"
"habrás","6.0"
"habré","5.0"
"habréis","7.0"
"habremos","8.0"
"habría","6.0"
"habríais","8.0"
"habríamos","9.0"
"habrían","7.0"
"habrías","7.0"
"had","3.0"
"HamburgerMenu","13.0"
"HamburgerMenu ","14.0"
"han","3.0"
"has","3.0"
"hasn't","6.0"
"hasta","5.0"
"hat","3.0"
"hatte","5.0"
"hatten","6.0"
"have","4.0"
"having","6.0"
"hay","3.0"
"haya","4.0"
"hayáis","6.0"
"hayamos","7.0"
"hayan","5.0"
"hayas","5.0"
"he","2.0"
"he'd","4.0"
"he'll","5.0"
"Hello","5.0"
"help","4.0"
"hemos","5.0"
"hence","5.0"
"her","3.0"
"here","4.0"
"heres","5.0"
"here's","6.0"
"hers","4.0"
"herself","7.0"
"hes","3.0"
"he's","4.0"
"hesitate","8.0"
"HI","2.0"
"hier","4.0"
"him","3.0"
"himself","7.0"
"hin","3.0"
"hinter","6.0"
"his","3.0"
"Hola","4.0"
"how","3.0"
"however","7.0"
"hows","4.0"
"how's","5.0"
"hube","4.0"
"hubiera","7.0"
"hubierais","9.0"
"hubiéramos","10.0"
"hubieran","8.0"
"hubieras","8.0"
"hubieron","8.0"
"hubiese","7.0"
"hubieseis","9.0"
"hubiésemos","10.0"
"hubiesen","8.0"
"hubieses","8.0"
"hubimos","7.0"
"hubiste","7.0"
"hubisteis","9.0"
"hubo","4.0"
"i","1.0"
"I´m","3.0"
"ich","3.0"
"ici","3.0"
"i'd","3.0"
"IE","2.0"
"if","2.0"
"ihm","3.0"
"ihn","3.0"
"ihnen","5.0"
"ihr","3.0"
"ihre","4.0"
"ihrem","5.0"
"ihren","5.0"
"ihrer","5.0"
"ihres","5.0"
"II","2.0"
"il","2.0"
"i'll","4.0"
"ils","3.0"
"im","2.0"
"i'm","3.0"
"IM&T","4.0"
"immediately","11.0"
"Impossible","10.0"
"in","2.0"
"incident","8.0"
"indem","5.0"
"info","4.0"
"initially","9.0"
"ins","3.0"
"instead","7.0"
"into","4.0"
"is","2.0"
"isn","3.0"
"isn't","5.0"
"isso","4.0"
"issue","5.0"
"issue ","6.0"
"ist","3.0"
"isto","4.0"
"it","2.0"
"it.","3.0"
"it´s","4.0"
"its","3.0"
"it's","4.0"
"itself","6.0"
"i've","4.0"
"j","1.0"
"J'ai","4.0"
"Jan","3.0"
"January","7.0"
"janv","4.0"
"janvier","7.0"
"jas","3.0"
"je","2.0"
"jede","4.0"
"jedem","5.0"
"jeden","5.0"
"jeder","5.0"
"jedes","5.0"
"jene","4.0"
"jenem","5.0"
"jenen","5.0"
"jener","5.0"
"jenes","5.0"
"jetzt","5.0"
"jeu","3.0"
"Jeudi","5.0"
"juil","4.0"
"juin","4.0"
"Jul","3.0"
"July","4.0"
"Jun","3.0"
"June","4.0"
"just","4.0"
"k","1.0"
"kann","4.0"
"keep","4.0"
"keeps","5.0"
"kein","4.0"
"keine","5.0"
"keinem","6.0"
"keinen","6.0"
"keiner","6.0"
"keines","6.0"
"kind","4.0"
"kindly","6.0"
"know","4.0"
"können","6.0"
"könnte","6.0"
"l","1.0"
"la","2.0"
"label","5.0"
"las","3.0"
"last","4.0"
"Latest","6.0"
"le","2.0"
"least","5.0"
"l'erreur","8.0"
"les","3.0"
"less","4.0"
"let","3.0"
"lets","4.0"
"let's","5.0"
"leur","4.0"
"leurs","5.0"
"like","4.0"
"likely","6.0"
"Line","4.0"
"ll","2.0"
"'ll","3.0"
"lo","2.0"
"location","8.0"
"logo","4.0"
"los","3.0"
"-lrb-","5.0"
"LSB","3.0"
"-lsb-","5.0"
"lui","3.0"
"lun","3.0"
"lundi","5.0"
"m","1.0"
"'m","2.0"
"ma","2.0"
"machen","6.0"
"Mai","3.0"
"m'aider","7.0"
"mais","4.0"
"make","4.0"
"man","3.0"
"manche","6.0"
"manchem","7.0"
"manchen","7.0"
"mancher","7.0"
"manches","7.0"
"many","4.0"
"Mar","3.0"
"Már","3.0"
"March","5.0"
"Mark","4.0"
"MARS","4.0"
"mas","3.0"
"más","3.0"
"MAY","3.0"
"me","2.0"
"mediante","8.0"
"meet","4.0"
"mein","4.0"
"meine","5.0"
"meinem","6.0"
"meinen","6.0"
"meiner","6.0"
"meines","6.0"
"même","4.0"
"menos","5.0"
"mensaje","7.0"
"mer","3.0"
"mercredi","8.0"
"mes","3.0"
"mesma","5.0"
"mesmas","6.0"
"mesmo","5.0"
"mesmos","6.0"
"message","7.0"
"mi","2.0"
"mí","2.0"
"mía","3.0"
"mías","4.0"
"mich","4.0"
"middle","6.0"
"mine","4.0"
"mins","4.0"
"minute","6.0"
"minutes","7.0"
"mío","3.0"
"míos","4.0"
"mir","3.0"
"mis","3.0"
"mit","3.0"
"moi","3.0"
"mon","3.0"
"Monday","6.0"
"more","4.0"
"morning","7.0"
"most","4.0"
"mot","3.0"
"moved","5.0"
"much","4.0"
"Muchas","6.0"
"mucho","5.0"
"muchos","6.0"
"muss","4.0"
"musste","6.0"
"must","4.0"
"muy","3.0"
"my","2.0"
"myself","6.0"
"n","1.0"
"N/A","3.0"
"na","2.0"
"nach","4.0"
"nada","4.0"
"n'ai","4.0"
"name","4.0"
"name?
A.","8.0"
"nao","3.0"
"Não","3.0"
"n'arrive","8.0"
"nas","3.0"
"nd","2.0"
"ne","2.0"
"need","4.0"
"needs","5.0"
"nem","3.0"
"nesse","5.0"
"n'est","5.0"
"neste","5.0"
"never","5.0"
"new","3.0"
"newly","5.0"
"ni","2.0"
"nicht","5.0"
"nichts","6.0"
"niet","4.0"
"no","2.0"
"noch","4.0"
"non","3.0"
"none","4.0"
"nor","3.0"
"normally","8.0"
"nos","3.0"
"nosearchtermprovided","20.0"
"nosotras","8.0"
"nosotros","8.0"
"not","3.0"
"notre","5.0"
"nous","4.0"
"NOV","3.0"
"November","8.0"
"novembre","8.0"
"now","3.0"
"nuestra","7.0"
"nuestras","8.0"
"nuestro","7.0"
"nuestros","8.0"
"nuevo","5.0"
"number","6.0"
"nun","3.0"
"nur","3.0"
"o","1.0"
"ob","2.0"
"obrigado","8.0"
"Oct","3.0"
"October","7.0"
"octobre","7.0"
"oder","4.0"
"of","2.0"
"off","3.0"
"often","5.0"
"ohne","4.0"
"ok","2.0"
"okay","4.0"
"on","2.0"
"once","4.0"
"ond","3.0"
"one","3.0"
"only","4.0"
"ont","3.0"
"onto","4.0"
"open","4.0"
"or","2.0"
"originally","10.0"
"os","2.0"
"other","5.0"
"others","6.0"
"otra","4.0"
"otras","5.0"
"otro","4.0"
"otros","5.0"
"ou","2.0"
"ought","5.0"
"our","3.0"
"ours ","5.0"
"ourselves","9.0"
"out","3.0"
"outra","5.0"
"outras","6.0"
"outro","5.0"
"outros","6.0"
"over","4.0"
"overall","7.0"
"own","3.0"
"par","3.0"
"para","4.0"
"pas","3.0"
"pelas","5.0"
"pelo","4.0"
"pelos","5.0"
"pending","7.0"
"per","3.0"
"perante","7.0"
"pero","4.0"
"peux","4.0"
"phone","5.0"
"plea","4.0"
"pleas","5.0"
"please","6.0"
"Pls","3.0"
"PLSE","4.0"
"plus","4.0"
"PM","2.0"
"poco","4.0"
"pois","4.0"
"por","3.0"
"porque","6.0"
"PORTAL","6.0"
"Portal ","7.0"
"portanto","8.0"
"possible","8.0"
"pour","4.0"
"pouvez","6.0"
"previous","8.0"
"Probably","8.0"
"problem","7.0"
"Problème","8.0"
"properly","8.0"
"propios","7.0"
"proprio","7.0"
"provide","7.0"
"provided","8.0"
"Public","6.0"
"puede","5.0"
"Q.","2.0"
"qu","2.0"
"quais","5.0"
"qual","4.0"
"qualquer","8.0"
"quando","6.0"
"quanto","6.0"
"que","3.0"
"qué","3.0"
"quel","4.0"
"quelle","6.0"
"quelles","7.0"
"quels","5.0"
"quem","4.0"
"quer","4.0"
"qui","3.0"
"quien","5.0"
"quienes","7.0"
"quite","5.0"
"r","1.0"
"ran","3.0"
"rather","6.0"
"Re","2.0"
"really","6.0"
"recently","8.0"
"regard","6.0"
"regarding","9.0"
"regards","7.0"
"regards Portal","14.0"
"regularly","9.0"
"related","7.0"
"request","7.0"
"Requested","9.0"
"require","7.0"
"required","8.0"
"RESPONSE","8.0"
"responses","9.0"
"return","6.0"
"-rrb-","5.0"
"RSB","3.0"
"-rsb-","5.0"
"run","3.0"
"s","1.0"
"'s","2.0"
"sa","2.0"
"said","4.0"
"Sam","3.0"
"same","4.0"
"sans","4.0"
"Sat","3.0"
"saturday","8.0"
"say","3.0"
"saying","6.0"
"says","4.0"
"sd","2.0"
"se","2.0"
"sea","3.0"
"seáis","5.0"
"seamos","6.0"
"sean","4.0"
"sear","4.0"
"search","6.0"
"seas","4.0"
"see","3.0"
"seem","4.0"
"seems","5.0"
"seen","4.0"
"sehr","4.0"
"sein","4.0"
"seine","5.0"
"seinem","6.0"
"seinen","6.0"
"seiner","6.0"
"seines","6.0"
"seja","4.0"
"selbst","6.0"
"sem","3.0"
"send","4.0"
"sendo","5.0"
"senha","5.0"
"Sep","3.0"
"sept","4.0"
"September","9.0"
"septembre","9.0"
"sera","4.0"
"será","4.0"
"serai","5.0"
"seraient","8.0"
"serais","6.0"
"serait","6.0"
"serán","5.0"
"seras","5.0"
"serás","5.0"
"seré","4.0"
"seréis","6.0"
"seremos","7.0"
"serez","5.0"
"sería","5.0"
"seríais","7.0"
"seríamos","8.0"
"serían","6.0"
"serías","6.0"
"seriez","6.0"
"serions","7.0"
"serons","6.0"
"seront","6.0"
"service","7.0"
"Services ","9.0"
"ses","3.0"
"set","3.0"
"Setup","5.0"
"seu","3.0"
"seus","4.0"
"several","7.0"
"she","3.0"
"she'd","5.0"
"she'll","6.0"
"shes","4.0"
"she's","5.0"
"short","5.0"
"should","6.0"
"show","4.0"
"shows","5.0"
"si","2.0"
"sí","2.0"
"sich","4.0"
"sido","4.0"
"sie","3.0"
"siendo","6.0"
"similar","7.0"
"sin","3.0"
"Since","5.0"
"sind","4.0"
"Sir","3.0"
"so","2.0"
"sob","3.0"
"sobre","5.0"
"soi","3.0"
"soient","6.0"
"sois","4.0"
"soit","4.0"
"solche","6.0"
"solchem","7.0"
"solchen","7.0"
"solcher","7.0"
"solches","7.0"
"solicito","8.0"
"soll","4.0"
"sollte","6.0"
"solve","5.0"
"solved","6.0"
"some","4.0"
"Something","9.0"
"sometimes","9.0"
"sommes","6.0"
"somos","5.0"
"son","3.0"
"sondern","7.0"
"sonst","5.0"
"sont","4.0"
"soon","4.0"
"soonest","7.0"
"soy","3.0"
"soyez","5.0"
"soyons","6.0"
"st","2.0"
"start","5.0"
"still","5.0"
"su","2.0"
"sua","3.0"
"suas","4.0"
"successful","10.0"
"such","4.0"
"suddenly","8.0"
"suis","4.0"
"summary","7.0"
"Sun","3.0"
"Sunday","6.0"
"sur","3.0"
"sure","4.0"
"sus","3.0"
"suya","4.0"
"suyas","5.0"
"suyo","4.0"
"suyos","5.0"
"system","6.0"
"t","1.0"
"ta","2.0"
"take","4.0"
"takes","5.0"
"tal","3.0"
"tambem","6.0"
"también","7.0"
"tanto","5.0"
"te","2.0"
"TEAM","4.0"
"tell","4.0"
"tendrá","6.0"
"tendrán","7.0"
"tendrás","7.0"
"tendré","6.0"
"tendréis","8.0"
"tendremos","9.0"
"tendría","7.0"
"tendríais","9.0"
"tendríamos","10.0"
"tendrían","8.0"
"tendrías","8.0"
"tened","5.0"
"tenéis","6.0"
"tenemos","7.0"
"tenga","5.0"
"tengáis","7.0"
"tengamos","8.0"
"tengan","6.0"
"tengas","6.0"
"tengo","5.0"
"tenía","5.0"
"teníais","7.0"
"teníamos","8.0"
"tenían","6.0"
"tenías","6.0"
"tenida","6.0"
"tenidas","7.0"
"tenido","6.0"
"tenidos","7.0"
"teniendo","8.0"
"term","4.0"
"terms","5.0"
"tes","3.0"
"test","4.0"
"teu","3.0"
"teus","4.0"
"th","2.0"
"than","4.0"
"thank","5.0"
"thanks","6.0"
"Thanks.","7.0"
"that","4.0"
"thats","5.0"
"that's","6.0"
"the","3.0"
"their","5.0"
"theirs","6.0"
"them","4.0"
"themselves","10.0"
"then","4.0"
"there","5.0"
"therefore","9.0"
"theres","6.0"
"there's","7.0"
"these","5.0"
"they","4.0"
"they'd","6.0"
"theyll","6.0"
"they'll","7.0"
"theyre","6.0"
"they're","7.0"
"theyve","6.0"
"they've","7.0"
"thi","3.0"
"thing","5.0"
"think","5.0"
"this","4.0"
"those","5.0"
"though","6.0"
"through","7.0"
"thru","4.0"
"Thu","3.0"
"Thursday","8.0"
"thus","4.0"
"thx","3.0"
"ti","2.0"
"ticket","6.0"
"tiene","5.0"
"tienen","6.0"
"tienes","6.0"
"time","4.0"
"times","5.0"
"to","2.0"
"toda","4.0"
"todas","5.0"
"today","5.0"
"todo","4.0"
"todos","5.0"
"toi","3.0"
"told","4.0"
"ton","3.0"
"too","3.0"
"took","4.0"
"TOP","3.0"
"tous","4.0"
"tried","5.0"
"tries","5.0"
"try","3.0"
"trying","6.0"
"tu","2.0"
"tú","2.0"
"tua","3.0"
"tuas","4.0"
"tudo","4.0"
"Tue","3.0"
"Tuesday","7.0"
"tus","3.0"
"tuve","4.0"
"tuviera","7.0"
"tuvierais","9.0"
"tuviéramos","10.0"
"tuvieran","8.0"
"tuvieras","8.0"
"tuvieron","8.0"
"tuviese","7.0"
"tuvieseis","9.0"
"tuviésemos","10.0"
"tuviesen","8.0"
"tuvieses","8.0"
"tuvimos","7.0"
"tuviste","7.0"
"tuvisteis","9.0"
"tuvo","4.0"
"tuya","4.0"
"tuyas","5.0"
"tuyo","4.0"
"tuyos","5.0"
"type","4.0"
"u","1.0"
"über","4.0"
"um","2.0"
"uma","3.0"
"umas","4.0"
"un","2.0"
"una","3.0"
"Unable","6.0"
"und","3.0"
"under","5.0"
"une","3.0"
"Unfortunately","13.0"
"uno","3.0"
"unos","4.0"
"uns","3.0"
"unse","4.0"
"unsem","5.0"
"unsen","5.0"
"unser","5.0"
"unses","5.0"
"unter","5.0"
"until","5.0"
"up","2.0"
"update","6.0"
"upon","4.0"
"URGENT","6.0"
"urgently","8.0"
"us","2.0"
"use","3.0"
"used","4.0"
"user","4.0"
"using","5.0"
"usual","5.0"
"Usually","7.0"
"UTC","3.0"
"v","1.0"
"van","3.0"
"ven","3.0"
"vendredi","8.0"
"very","4.0"
"via","3.0"
"viel","4.0"
"vom","3.0"
"von","3.0"
"vor","3.0"
"vos","3.0"
"vosotras","8.0"
"vosotros","8.0"
"votre","5.0"
"vous","4.0"
"vuestra","7.0"
"vuestras","8.0"
"vuestro","7.0"
"vuestros","8.0"
"w","1.0"
"während","7.0"
"want","4.0"
"wanted","6.0"
"wants","5.0"
"war","3.0"
"waren","5.0"
"warst","5.0"
"was","3.0"
"wasn't","6.0"
"we","2.0"
"Wed","3.0"
"we'd","4.0"
"Wednesday","9.0"
"week","4.0"
"weg","3.0"
"weil","4.0"
"weiter","6.0"
"welche","6.0"
"welchem","7.0"
"welchen","7.0"
"welcher","7.0"
"welches","7.0"
"Welcome","7.0"
"well","4.0"
"we'll","5.0"
"wenn","4.0"
"werde","5.0"
"werden","6.0"
"were","4.0"
"we're","5.0"
"we've","5.0"
"what","4.0"
"whatever","8.0"
"whats","5.0"
"what's","6.0"
"when","4.0"
"whenever","8.0"
"whens","5.0"
"when's","6.0"
"where","5.0"
"whereas","7.0"
"whereby","7.0"
"wheres","6.0"
"where's","7.0"
"whether","7.0"
"which","5.0"
"while","5.0"
"who","3.0"
"whole","5.0"
"whom","4.0"
"whos","4.0"
"who's","5.0"
"whose","5.0"
"why","3.0"
"whys","4.0"
"why's","5.0"
"wie","3.0"
"wieder","6.0"
"will","4.0"
"wir","3.0"
"wird","4.0"
"wirst","5.0"
"with","4.0"
"within","6.0"
"without","7.0"
"wo","2.0"
"wollen","6.0"
"wollte","6.0"
"wont","4.0"
"Won't","5.0"
"work","4.0"
"would","5.0"
"wrongly","7.0"
"würde","5.0"
"würden","6.0"
"x","1.0"
"y","1.0"
"ya","2.0"
"Yes","3.0"
"yesterday","9.0"
"yet","3.0"
"yo","2.0"
"you","3.0"
"you.","4.0"
"youd","4.0"
"you'd","5.0"
"youll","5.0"
"you'll","6.0"
"your","4.0"
"youre","5.0"
"you're","6.0"
"yours","5.0"
"yourself","8.0"
"yourselves","10.0"
"youve","5.0"
"you've","6.0"
"Z","1.0"
"zu","2.0"
"zum","3.0"
"zur","3.0"
"zwar","4.0"
"zwischen","8.0"
